,"Population estimates, July 1, 2015,  (V2015)","Population estimates base, April 1, 2010,  (V2015)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2015,  (V2015)","Population, Census, April 1, 2010","Persons under 5 years, percent, July 1, 2015,  (V2015)","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, July 1, 2015,  (V2015)","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent,  July 1, 2015,  (V2015)","Persons 65 years and over, percent, April 1, 2010","Female persons, percent,  July 1, 2015,  (V2015)","Female persons, percent, April 1, 2010","White alone, percent, July 1, 2015,  (V2015)  (a)","White alone, percent, April 1, 2010  (a)","Black or African American alone, percent, July 1, 2015,  (V2015)  (a)","Black or African American alone, percent, April 1, 2010  (a)","American Indian and Alaska Native alone, percent, July 1, 2015,  (V2015)  (a)","American Indian and Alaska Native alone, percent, April 1, 2010  (a)","Asian alone, percent, July 1, 2015,  (V2015)  (a)","Asian alone, percent, April 1, 2010  (a)","Two or More Races, percent, July 1, 2015,  (V2015)","Two or More Races, percent, April 1, 2010","Hispanic or Latino, percent, July 1, 2015,  (V2015)  (b)","Hispanic or Latino, percent, April 1, 2010  (b)","White alone, not Hispanic or Latino, percent, July 1, 2015,  (V2015)","White alone, not Hispanic or Latino, percent, April 1, 2010","Veterans, 2011-2015","Foreign born persons, percent, 2011-2015","Housing units,  July 1, 2015,  (V2015)","Housing units, April 1, 2010","Owner-occupied housing unit rate, 2011-2015","Median value of owner-occupied housing units, 2011-2015","Median selected monthly owner costs -with a mortgage, 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Median gross rent, 2011-2015","Building permits, 2015","Households, 2011-2015","Persons per household, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","With a disability, under age 65 years, percent, 2011-2015","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2011-2015","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Total accommodation and food services sales, 2012 ($1,000)  (c)","Total health care and social assistance receipts/revenue, 2012 ($1,000)  (c)","Total manufacturers shipments, 2012 ($1,000)  (c)","Total merchant wholesaler sales, 2012 ($1,000)  (c)","Total retail sales, 2012 ($1,000)  (c)","Total retail sales per capita, 2012  (c)","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Median household income (in 2015 dollars), 2011-2015","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons in poverty, percent","Total employer establishments, 2014","Total employment, 2014","Total annual payroll, 2014 ($1,000)","Total employment, percent change, 2013-2014","Total nonemployer establishments, 2014","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
"Lancaster County, Pennsylvania",536624,519448,3.3,519445,6.6,6.8,24,24.8,16.7,15,51.1,51.1,90.4,88.6,4.9,3.7,0.4,0.2,2.3,1.9,1.9,2,10.1,8.6,82.6,84.9,32726,4.5,207090,202952,68.9,189200,1464,544,908,1154,195330,2.64,89,15.8,84.5,25.2,7.7,13.4,66.4,59.8,878433,3387524,13655747,8763973,6899629,13097,22.9,57721,27158,10.5,12414,220898,8930940,3.5,40764,47876,28521,14101,3569,42926,4103,41749,550.4,943.81,"""42071"""
"Juniata County, Pennsylvania",24737,24636,0.4,24636,5.4,6.3,22.4,24,20.1,16.8,50,50.1,97.5,96.8,0.8,0.6,0.3,0.1,0.5,0.3,0.9,1,3.2,2.5,94.8,95.7,1569,1.9,11009,10978,75.4,141700,1144,381,587,35,9393,2.61,92,9.2,81.7,13.1,8.4,13.3,59.5,51.4,15390,37264,337098,54522,204433,8209,28.8,47398,22170,12.3,461,5923,180392,10,1817,2276,1374,662,0,2201,162,2030,63,391.35,"""42067"""
"Lackawanna County, Pennsylvania",211917,214436,-1.2,214437,5.3,5.4,20.1,20.5,19.1,17.7,51.7,51.9,92.2,92,3.4,2.5,0.3,0.2,2.4,1.7,1.6,1.5,6.6,5,87,89.7,16842,5.1,98370,96832,66.6,144800,1294,536,709,593,85034,2.41,88.1,8.9,89.9,25.9,10.3,9.9,59.7,54.6,411659,1805524,0,4374523,3186342,14856,20.6,46271,25608,15.4,5372,96324,3359661,0.1,11916,16099,9777,4533,1154,14386,1535,13620,467.1,459.08,"""42069"""
"Jefferson County, Pennsylvania",44430,45199,-1.7,45200,5.7,5.7,21.1,21.6,19.8,18.3,50.2,50.7,97.9,98.3,0.5,0.3,0.3,0.2,0.3,0.2,1,0.8,0.9,0.6,97.2,97.9,3610,0.6,22424,22434,74.7,90300,928,360,577,6,18479,2.38,88.8,3.8,88.6,14.6,10.8,10.1,58,51.8,41628,236584,887565,245457,556232,12426,22.9,42903,22282,13.3,1147,14023,501377,4.1,2950,4402,2949,1013,78,4169,492,3753,69.3,652.43,"""42065"""
"Indiana County, Pennsylvania",86966,88893,-2.2,88880,4.9,5.1,18.2,19,17.6,15.7,50.1,50.3,94.8,94.9,2.9,2.7,0.2,0.1,1.1,0.9,1,0.9,1.4,1.1,93.7,94.4,6320,1.8,38602,38236,70.8,107000,1091,399,694,53,34061,2.41,81.3,6.3,88.5,22.6,9.4,11.9,57.4,52.4,117556,360590,509632,0,1318836,14950,22.2,45195,23450,17,1894,26933,1010447,5.8,4941,7036,4126,2041,229,6507,864,5847,107.5,827.03,"""42063"""
"Huntingdon County, Pennsylvania",45668,46027,-0.8,45913,4.6,5.4,18.8,20.1,19.2,16.2,46.8,47.1,92.5,92.5,5.6,5.2,0.1,0.1,0.6,0.4,1.2,0.9,1.9,1.6,91,91.9,3666,1.1,22397,22365,76.2,119000,1056,387,554,48,17225,2.36,88.1,3.5,88.8,14.3,10.9,10.5,52.9,54,50286,147439,667420,94903,354345,7713,28.9,44396,21714,15.1,829,9529,288641,-2.9,2492,2984,1843,904,87,2791,347,2531,52.5,874.64,"""42061"""
"McKean County, Pennsylvania",42412,43450,-2.4,43450,5.2,5.5,20.1,21.1,18.3,17,48.8,49,95.5,95.9,2.7,2.4,0.3,0.2,0.6,0.4,1,0.9,2.1,1.7,93.6,94.5,3785,1.7,21004,21225,73.7,76200,915,367,598,30,17400,2.29,87.1,2.8,89.7,16.7,12.6,10.5,57,55.7,44629,209690,1615775,0,401761,9316,20.2,43965,23554,16.6,1044,13223,473284,-5.6,2112,2915,1733,631,86,2675,438,2280,44.4,979.2,"""42083"""
"Lycoming County, Pennsylvania",116048,116108,-0.1,116111,5.7,5.6,20.5,20.9,17.9,16.5,50.8,51,92.3,92.6,4.8,4.5,0.2,0.2,0.6,0.6,1.9,1.7,1.9,1.3,90.9,91.9,9628,1.5,52671,52500,70.1,138500,1194,463,723,159,45906,2.42,86.7,3.6,88,20.4,10.2,10.9,61.7,56.3,237891,825824,3186668,1271229,1878105,16029,20.2,47313,24194,16,2826,46628,1773137,-0.1,6190,8112,4612,2326,274,7456,872,6652,94.5,1228.59,"""42081"""
"Luzerne County, Pennsylvania",318449,320918,-0.8,320918,5,5.2,19.6,20.2,19.2,17.9,50.6,51.1,91.4,90.7,5.1,3.4,0.4,0.2,1.3,1,1.6,1.5,9.8,6.7,84.1,88.2,25317,5.4,148211,148748,67.6,122700,1210,483,702,204,128692,2.39,87.9,9.7,88.9,21.4,10.8,10.9,60.4,56.3,515557,2273087,6627995,3435853,8097008,25222,22.1,45897,25224,15.8,7169,131081,4894393,1.4,16573,21934,13109,6611,2156,18842,2264,18271,360.4,890.33,"""42079"""
"Lehigh County, Pennsylvania",360685,349626,3.2,349497,5.9,6.1,22.8,23.7,16.1,14.8,51.2,51.6,84.2,79.1,8.8,6.1,0.8,0.4,3.6,2.9,2.5,2.9,22.4,18.8,66.9,71.6,21595,10.5,143847,142613,66.6,191700,1574,595,929,680,133960,2.6,86.1,22.8,87.4,28.5,10.6,11.4,65.5,60.7,633017,4351173,9889547,8062377,5550392,15624,24.9,56117,28688,12.8,8448,169299,8529928,2.4,21794,26456,15555,8240,5698,19714,2144,22868,1012.5,345.17,"""42077"""
"Lebanon County, Pennsylvania",137067,133577,2.6,133568,6.1,6.3,22.9,23,18.7,17,50.8,51.2,93.4,91,3.3,2.2,0.3,0.2,1.4,1.1,1.5,1.6,12,9.3,83.5,86.9,10609,3.9,56464,55592,70.5,163800,1339,515,768,384,52267,2.54,88,10.8,85.7,19.6,8.7,11.1,64.7,58.4,146138,772403,2743814,3913716,1695685,12537,23.2,55499,26526,10.9,2641,44254,1588645,1.3,8107,9112,5327,2578,758,7999,881,7856,369.1,361.83,"""42075"""
"Lawrence County, Pennsylvania",88082,91140,-3.4,91108,5.2,5.3,20.2,21.2,20.3,18.8,51.6,51.8,93.3,93.8,4.1,3.8,0.1,0.1,0.5,0.4,1.9,1.6,1.3,1,92.3,93.2,7015,1.4,40675,40975,73.9,97300,1057,412,630,53,36435,2.38,90.9,4.3,89.2,19.7,11.4,9.4,57.8,52.9,89022,501693,1819437,0,838738,9333,22.8,44571,24450,13.2,1994,27359,946707,2.2,4960,6244,3411,1952,237,5701,611,5196,254.4,358.18,"""42073"""
"Northampton County, Pennsylvania",300813,297735,1,297735,4.9,5.5,20.4,21.9,17.8,15.7,50.9,51.2,88,86.3,6.4,5,0.4,0.2,3,2.4,2.1,2.2,12.4,10.5,77.9,81,20798,7,121581,120363,71.8,206100,1667,626,957,328,112927,2.56,87.7,12.4,89.8,27.2,8.3,9.4,63.8,58.2,941050,1137248,4081181,9979809,3627410,12121,27.7,60972,30176,10,6237,97821,4084130,1,17553,22663,12925,7413,3460,18503,1720,19766,805.4,369.67,"""42095"""
"Montour County, Pennsylvania",18557,18267,1.6,18267,5.5,5.7,20.3,21.2,20.1,18.6,52.3,51.9,94.1,95.3,1.7,1.4,0.1,0.1,3.1,1.8,1,1,2.8,1.8,91.6,94.2,1519,2.9,8048,7965,72.4,163400,1257,446,725,37,7380,2.41,89.3,5.9,89.4,28.8,9.8,7.8,59.4,53.5,38724,0,140654,190155,167244,9111,20.5,54648,30272,11.2,450,14550,950467,0.6,1045,1262,708,351,50,1157,83,1085,140.3,130.24,"""42093"""
"Montgomery County, Pennsylvania",819264,799884,2.4,799874,5.5,5.9,21.8,22.9,16.8,15.1,51.4,51.5,80.6,81.1,9.5,8.7,0.2,0.1,7.6,6.4,2,1.9,4.9,4.3,76.6,79,45744,10.2,328589,325735,72.6,292300,2011,749,1158,1402,308626,2.57,89.5,13.2,93.8,46.9,5.9,6.5,68.3,63.2,1723215,7980211,14574655,17692109,16036285,19836,27.9,80675,42275,7.1,25984,495469,29281719,3.1,68190,81437,49306,23821,10000,68260,7572,69382,1655.9,483.04,"""42091"""
"Monroe County, Pennsylvania",166397,169842,-2,169842,4.5,5.1,20.6,23.9,15.5,12.8,50.6,50.6,79.1,77.2,15.3,13.2,0.5,0.3,2.4,2.1,2.6,2.9,14.9,13.1,67.6,70.5,11523,10.9,80720,80359,78.4,174500,1709,638,1014,152,57297,2.89,90.2,15.3,89.7,23,9.9,11.7,63.6,59,724750,643147,0,0,2140383,12680,38.7,57365,25022,13.3,3350,45985,1727935,3.6,10218,12777,7399,4123,2174,10154,1140,11021,279.2,608.29,"""42089"""
"Mifflin County, Pennsylvania",46500,46683,-0.4,46682,6,6.3,22.5,23.1,20.6,18.5,50.9,51.1,97.3,97.5,0.8,0.6,0.1,0.1,0.6,0.4,1.1,1,1.4,1.1,96.1,96.8,3965,0.8,21513,21537,70.4,97800,1029,441,619,66,18714,2.46,88.4,8.9,82.2,11.6,12,13,56.9,50.3,45189,250961,1163014,0,539420,11533,23.5,41288,20769,16.3,959,13750,492101,-1.7,2646,3036,1861,809,44,2874,201,2649,113.6,411.03,"""42087"""
"Mercer County, Pennsylvania",114234,116674,-2.1,116638,5,5.1,20,21.6,20.3,18.5,50.8,51,91.6,91.6,5.9,5.8,0.2,0.1,0.7,0.6,1.6,1.5,1.4,1.1,90.5,91,9802,1.4,51562,51733,73.7,107900,1047,401,621,107,45546,2.37,88.8,4.6,89.1,21.5,11.3,10.2,56.5,53.9,188347,866369,3309403,644740,1527348,13206,20.5,44156,23683,14.6,2794,45667,1563823,1.4,6479,8797,5468,2345,371,8024,1059,7156,173.4,672.58,"""42085"""
"Schuylkill County, Pennsylvania",144590,148289,-2.5,148289,4.7,5.2,19.5,20.1,19.6,18.1,48.9,49.3,94.8,94.4,3.3,2.7,0.3,0.1,0.6,0.5,1.1,1,3.9,2.8,91.6,93.2,12935,1.9,69113,69323,74.9,93000,1117,472,635,99,58554,2.38,90.4,4.6,87.5,15.4,12.1,10.6,57.2,54.2,124430,597126,3400000,916608,1381912,9397,25.9,45535,23682,13.5,2812,40196,1442920,-0.5,6736,8492,5145,2444,390,7749,984,7027,190.4,778.63,"""42107"""
"Potter County, Pennsylvania",17093,17458,-2.1,17457,5.7,5.6,21.3,22.3,22.3,19.5,50.2,50,97.8,98.1,0.5,0.4,0.4,0.3,0.4,0.3,0.9,0.8,1.1,1,96.9,97.4,1577,1.1,12814,12932,77.1,101200,1066,395,609,12,6669,2.57,91.5,2.2,87.8,15.7,12.3,10.7,53.2,48.9,12293,88277,69507,0,152717,8688,24.3,40654,22318,14.3,349,4230,154151,0.4,1297,1443,894,336,0,1388,93,1183,16.1,1081.32,"""42105"""
"Pike County, Pennsylvania",55949,57366,-2.5,57369,3.6,4.9,19.3,23.3,21.2,16.2,49.8,50,89.9,88.6,6.4,5.8,0.5,0.3,1.4,1,1.8,2.1,10.5,9,81,82.9,4966,8.8,38547,38350,84.1,183200,1489,552,1118,76,21079,2.66,90.3,11.6,91,23.7,12,11.2,58.7,53.4,127221,64182,27068,31846,471375,8284,44,60180,28533,10.6,886,8200,213553,5.7,3803,5026,2852,1669,486,4418,447,4345,105.3,544.96,"""42103"""
"Philadelphia County, Pennsylvania",1567442,1526006,2.7,1526006,7,6.6,22.1,22.5,12.7,12.1,52.7,52.8,45.1,41,44,43.4,0.8,0.5,7.4,6.3,2.6,2.8,14,12.3,35.4,36.9,66590,12.7,672588,670171,52.6,145300,1239,440,922,3666,581050,2.59,85.8,22.1,82,25.4,12.4,14.4,59.7,57.3,3551722,17972603,19718568,13181887,12241299,7910,32.5,38253,22919,25.8,27395,594334,32447004,2,84805,104439,55745,40906,48743,51842,8061,92065,11379.5,134.1,"""42101"""
"Perry County, Pennsylvania",45685,45965,-0.6,45969,5.7,6,21.8,23.3,16.4,13.7,49.6,49.8,97.1,97.4,0.9,0.6,0.2,0.2,0.5,0.4,1.2,1,1.8,1.3,95.6,96.6,3836,1.3,20540,20424,78.8,159900,1324,463,734,69,18085,2.49,89.7,4.2,88.5,16,9,11.5,66.3,62,21074,49628,102625,81353,317797,6954,32.3,57177,27019,8.7,777,6310,161608,1,2863,3134,1985,812,47,3015,567,2415,83.4,551.45,"""42099"""
"Northumberland County, Pennsylvania",93246,94514,-1.3,94528,5.2,5.6,19.8,20.6,20.1,18.5,49.8,50.1,95.4,95.4,2.6,2,0.3,0.2,0.5,0.4,1.2,1,3.3,2.4,92.8,94.3,8691,1.3,44874,45125,71.2,104300,1078,433,613,51,39375,2.27,89.4,4.2,85.6,14.6,10.6,12.1,56.9,54.5,66187,340847,1194339,1152014,909670,9633,23.4,42406,23291,15.9,1639,24382,844175,5.4,4434,5138,3218,1212,90,4817,690,4041,206.2,458.37,"""42097"""
"Union County, Pennsylvania",44954,44949,0,44947,4.5,4.7,18.1,18.5,16.4,14.8,45,45,88.7,87.7,7.8,7.4,0.5,0.4,1.6,1.2,1.3,1.6,5.8,5.2,84.5,85.2,3095,3.2,17078,16997,71.5,160200,1255,467,697,46,14916,2.38,83.8,9.4,83.9,20.5,7.7,10.8,49.8,52.1,89339,315448,353280,0,479155,10659,22.6,49803,22863,13.4,902,15882,548818,6.5,2714,3035,1977,732,64,2866,437,2444,142.2,315.98,"""42119"""
"Susquehanna County, Pennsylvania",41666,43356,-3.9,43356,4.9,5,19.6,21.1,20.7,18.1,49.6,49.7,97.9,98,0.6,0.4,0.2,0.1,0.4,0.3,0.9,0.8,1.8,1.3,96.3,97.1,3715,1.5,23020,22968,76.7,150700,1200,482,714,70,17487,2.41,90.5,2.5,89.1,17.1,12.1,11.8,59,53.5,44071,77938,124024,569870,533564,12497,27.5,50477,25958,12.8,886,7146,225454,0.7,3202,3968,2563,828,34,3866,354,3383,52.7,823.44,"""42115"""
"Tioga County, Pennsylvania",41877,41983,-0.3,41981,5.5,5.3,19.9,20.5,20.1,18,50.4,51,97.2,97.3,0.9,0.8,0.3,0.2,0.6,0.4,1.1,1,1.4,1,96,96.6,3739,1.2,21506,21364,74.3,124700,1141,437,688,28,16611,2.47,88.6,2,88.4,19.6,10.9,11.4,56.8,51.5,65506,153839,591709,237661,563857,13243,23.9,46494,23980,16.3,887,11125,409649,-1.8,2561,3850,2558,846,71,3669,533,3092,37,1133.79,"""42117"""
"Somerset County, Pennsylvania",75522,77748,-2.9,77742,4.4,4.8,18.2,19.5,21,18.6,48,48.5,95.9,96,2.9,2.4,0.1,0.1,0.4,0.3,0.7,0.6,1.4,1.1,94.7,95.5,6315,0.8,37889,38113,78.6,98800,1056,405,580,104,29619,2.42,92.1,3.9,86.5,15.3,10.9,10.9,55.5,52.5,137192,292208,836124,443064,781086,10150,23.2,44587,22980,13.5,1688,18761,657752,-0.1,4609,5941,3513,1579,98,5619,638,4851,72.4,1074.37,"""42111"""
"Sullivan County, Pennsylvania",6328,6428,-1.6,6428,3.5,4,12.1,16,27.1,24.2,47.4,48.6,94.6,95.9,3.6,2.6,0.5,0.4,0.4,0.3,1,0.7,1.8,1.4,92.9,94.7,797,1.8,6298,6304,83.3,145800,1130,424,578,8,2669,2.22,90.1,2.7,89.6,16.1,14.3,13.4,50.6,46.1,0,0,0,0,64679,10011,28.9,44189,25054,14.4,161,1231,30841,-0.2,481,619,378,150,0,580,62,534,14.3,449.94,"""42113"""
"Snyder County, Pennsylvania",40444,39709,1.9,39702,5.5,6.1,21.8,22.4,17.1,15.5,50.6,50.6,97,96.9,1.3,1.1,0.2,0.1,0.7,0.5,0.9,0.8,2.2,1.7,95.2,96,2431,1.2,16140,16027,74.6,144700,1150,433,694,79,14442,2.62,89,10.2,82.4,16.5,7.5,13.8,63.1,57.6,79939,104572,678674,0,630192,15885,23.4,49917,23836,13.1,875,14882,418034,3.1,2884,3550,2077,1123,94,3308,294,3063,120.8,328.71,"""42109"""
"York County, Pennsylvania",442867,434998,1.8,434972,5.7,6.1,22.4,23.5,16.2,14,50.6,50.7,89.5,88.5,6.6,5.6,0.3,0.2,1.5,1.2,2.1,2,7,5.6,84.2,86.2,32862,3.5,181068,178671,74.2,168400,1490,536,851,778,167416,2.57,87.2,7,88.3,22.8,9.3,8.5,66.6,61.8,593286,2604360,11489433,4340824,5192354,11859,27.1,58269,28403,10.2,8611,159950,6407197,0.6,25586,30435,17577,9569,2376,26851,3169,25844,481.1,904.18,"""42133"""
"Westmoreland County, Pennsylvania",357956,365169,-2,365169,4.6,4.8,18.7,19.9,21.2,18.9,51.1,51.3,95,95.3,2.5,2.3,0.1,0.1,0.9,0.7,1.4,1.2,1.1,0.9,94.1,94.8,30773,1.5,168225,168199,76.6,138500,1189,440,654,393,151173,2.33,90.7,2.9,92.7,26.4,10,8.3,61.1,55.9,516556,1809372,7681478,7333316,4671741,12856,26.7,52247,29472,10.1,8683,123755,4979467,0.5,21305,27796,16593,8449,906,25985,3055,23377,355.4,1027.55,"""42129"""
"Washington County, Pennsylvania",208261,207820,0.2,207820,5,5.1,19.8,20.5,19.3,17.5,51,51.4,93.9,94.1,3.2,3.3,0.2,0.1,1,0.6,1.7,1.5,1.6,1.1,92.6,93.4,17004,2,94124,92977,75.8,152400,1246,420,675,657,83739,2.42,88.2,3.3,91.3,27.4,10.1,8.1,62,56.3,318020,1301480,3561898,2869334,2342057,11221,26.7,56450,30605,10.7,5091,83500,4393484,1.5,12479,15079,8876,4718,679,13752,1591,12689,242.5,856.99,"""42125"""
"Wayne County, Pennsylvania",51198,52825,-3.1,52822,4.1,4.1,17.4,19,21.2,19,46.8,47.6,94.3,94.2,3.7,3.1,0.3,0.2,0.6,0.5,1.1,1.1,4.4,3.4,90.6,92,4567,3.1,31903,31653,80.2,179000,1358,507,826,94,19306,2.47,88.7,5.7,89.3,19.7,12.9,10.7,52.7,52.8,144575,187997,104108,0,711105,13687,30.3,49919,24539,13.9,1295,12282,392741,0.4,3887,5270,3336,1043,179,4893,653,4239,72.8,725.6,"""42127"""
"Warren County, Pennsylvania",40396,41815,-3.4,41815,5,5,19.7,20.8,21.1,18.7,49.8,50.2,97.8,98.1,0.5,0.4,0.3,0.2,0.5,0.4,0.8,0.8,1,0.7,96.9,97.6,3980,1.2,23332,23560,76.6,89700,956,383,576,22,17113,2.35,90.3,3.1,90.5,18.1,12.8,9.7,58.8,54,42301,253978,3515528,142027,674640,16396,20.5,44020,24830,14.1,923,14084,515525,0.7,2160,2370,1697,476,49,2181,360,1860,47.3,884.14,"""42123"""
"Venango County, Pennsylvania",53119,54983,-3.4,54984,5.2,5.6,20.2,21.5,20.4,18,50.8,51.1,96.9,97.1,1.2,1,0.2,0.2,0.4,0.4,1.1,1.1,1.1,0.9,96,96.5,5092,0.8,27228,27464,76.3,81200,909,372,578,47,22129,2.38,87.2,1.9,89,15.8,13.4,10.5,57.9,52.7,55043,226599,1388108,0,636855,11735,22,43644,23380,16.2,1196,16234,559491,-1.6,2905,3590,2022,1080,129,3249,406,2842,81.5,674.28,"""42121"""
"Wyoming County, Pennsylvania",27800,28276,-1.7,28276,5,5.4,20.3,21.7,19.1,16,49.5,50,97.1,97.4,1,0.7,0.3,0.2,0.6,0.3,1.1,0.9,1.9,1.5,95.4,96.4,2311,1.5,13314,13254,77.9,159500,1242,473,736,34,10894,2.52,88.1,2.4,91.2,18.2,10.3,9.8,61.2,55.1,33694,42057,0,106540,393453,13989,26.2,51004,26087,10.9,667,11354,703700,3,1774,2119,1240,573,44,1949,282,1657,71.2,397.32,"""42131"""
