,"Population estimates, July 1, 2015,  (V2015)","Population estimates base, April 1, 2010,  (V2015)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2015,  (V2015)","Population, Census, April 1, 2010","Persons under 5 years, percent, July 1, 2015,  (V2015)","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, July 1, 2015,  (V2015)","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent,  July 1, 2015,  (V2015)","Persons 65 years and over, percent, April 1, 2010","Female persons, percent,  July 1, 2015,  (V2015)","Female persons, percent, April 1, 2010","White alone, percent, July 1, 2015,  (V2015)  (a)","White alone, percent, April 1, 2010  (a)","Black or African American alone, percent, July 1, 2015,  (V2015)  (a)","Black or African American alone, percent, April 1, 2010  (a)","American Indian and Alaska Native alone, percent, July 1, 2015,  (V2015)  (a)","American Indian and Alaska Native alone, percent, April 1, 2010  (a)","Asian alone, percent, July 1, 2015,  (V2015)  (a)","Asian alone, percent, April 1, 2010  (a)","Two or More Races, percent, July 1, 2015,  (V2015)","Two or More Races, percent, April 1, 2010","Hispanic or Latino, percent, July 1, 2015,  (V2015)  (b)","Hispanic or Latino, percent, April 1, 2010  (b)","White alone, not Hispanic or Latino, percent, July 1, 2015,  (V2015)","White alone, not Hispanic or Latino, percent, April 1, 2010","Veterans, 2011-2015","Foreign born persons, percent, 2011-2015","Housing units,  July 1, 2015,  (V2015)","Housing units, April 1, 2010","Owner-occupied housing unit rate, 2011-2015","Median value of owner-occupied housing units, 2011-2015","Median selected monthly owner costs -with a mortgage, 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Median gross rent, 2011-2015","Building permits, 2015","Households, 2011-2015","Persons per household, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","With a disability, under age 65 years, percent, 2011-2015","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2011-2015","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Total accommodation and food services sales, 2012 ($1,000)  (c)","Total health care and social assistance receipts/revenue, 2012 ($1,000)  (c)","Total manufacturers shipments, 2012 ($1,000)  (c)","Total merchant wholesaler sales, 2012 ($1,000)  (c)","Total retail sales, 2012 ($1,000)  (c)","Total retail sales per capita, 2012  (c)","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Median household income (in 2015 dollars), 2011-2015","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons in poverty, percent","Total employer establishments, 2014","Total employment, 2014","Total annual payroll, 2014 ($1,000)","Total employment, percent change, 2013-2014","Total nonemployer establishments, 2014","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
"Bradford County, Pennsylvania",61281,62622,-2.1,62622,5.8,6,21.9,22.7,19.9,17.8,50.4,50.8,97.3,97.5,0.6,0.5,0.3,0.2,0.6,0.5,1.1,1,1.5,1.1,96.1,96.7,5976,1.4,30124,29979,74.6,135900,1140,429,673,121,24358,2.52,91.4,2.7,88.5,17.6,10.5,10.9,56.5,50.8,76189,560981,1975497,0,903685,14392,22.9,48987,25577,12.9,1383,19952,841052,2,3495,4187,2295,1340,80,3954,500,3513,54.6,1147.4,"""42015"""
"Blair County, Pennsylvania",125593,127078,-1.2,127089,5.6,5.7,20.7,21.1,19.8,17.7,51.2,51.4,95.8,96.2,1.9,1.7,0.2,0.1,0.7,0.6,1.4,1.2,1.2,1,94.8,95.6,11930,1.1,56011,56276,71.8,110600,1037,399,638,117,51034,2.41,89.1,2.6,90.5,19.6,11.8,9.4,59.3,53.9,199443,1149504,2115631,2258357,2286728,17989,19.2,43981,23865,15,3174,50319,1719118,-3.3,6089,7961,4329,2159,225,7252,1009,6036,241.7,525.8,"""42013"""
"Clinton County, Pennsylvania",39441,39241,0.5,39238,5.7,5.6,20.5,20.7,17.5,16.2,51.1,51,96.4,96.5,1.7,1.6,0.2,0.1,0.7,0.5,1,0.8,1.5,1.1,95.2,95.9,3119,1.5,18985,19080,71.3,117400,1114,456,661,41,14796,2.52,86.1,5.6,87.1,16.9,10.1,11.2,58.6,54.8,58041,98295,1676778,0,582590,14743,22.8,45078,21937,17.4,760,10657,379124,-2.7,1837,2623,1369,788,91,2428,198,2286,44.2,887.98,"""42035"""
"Clearfield County, Pennsylvania",80994,81644,-0.8,81642,4.7,5,18.5,20,19.3,17.5,47.7,48.4,95.2,95.4,3,2.3,0.2,0.1,0.7,0.5,0.9,0.9,2.9,2.3,93,94.4,7096,2.9,38579,38644,77.2,87300,985,414,582,192,31817,2.38,88.9,4.4,87.1,13.2,12.2,10.5,54.5,51.3,99482,576419,962412,703584,1331310,16399,24.9,42257,21362,16.5,2014,26170,908618,-0.3,4235,6149,3426,1808,91,5805,898,4877,71.3,1144.72,"""42033"""
"Clarion County, Pennsylvania",39498,39989,-1.2,39988,5,5.1,18.5,19.4,18,16.4,51.3,51.6,96.7,97.2,1.3,1.2,0.2,0.1,0.8,0.5,1,0.8,0.8,0.6,96.1,96.8,2856,1.2,20233,19962,69.3,107100,981,365,608,73,15830,2.39,83.1,4.1,88.7,20.1,11.7,11.3,56.3,51.8,57431,197334,471237,167292,460431,11614,23.1,42536,22136,15.1,933,10982,331019,0.6,2401,2685,1545,638,57,2443,480,1994,66.6,600.83,"""42031"""
"Chester County, Pennsylvania",515939,499146,3.4,498886,5.7,6.2,23.3,24.9,15,12.8,50.8,50.9,86.4,85.5,6.4,6.1,0.3,0.2,5.1,3.9,1.8,1.8,7.3,6.5,80.1,82.1,28224,9.1,196755,192462,75.1,325800,2191,758,1197,1299,186057,2.66,89.7,11.9,92.7,49.1,5.2,8.6,68.8,62.5,846139,3442650,6633496,19155070,12474878,24626,27.7,85976,42556,7.3,14024,244291,16297503,2.1,41146,48950,29578,13877,4119,42770,4636,41788,664.7,750.51,"""42029"""
"Centre County, Pennsylvania",160580,153981,4.3,153990,4,4.4,15.2,15.9,12.7,11.3,47.4,48.2,88.4,89.4,3.9,3,0.2,0.1,5.8,5.2,1.8,1.5,3,2.4,86,87.9,9399,7.9,65478,63297,60.5,197200,1453,491,900,389,57183,2.47,74,10.3,93.2,41.4,6.7,9.4,58.2,55.7,288988,767442,1053482,538858,1748674,11269,20.3,52186,26492,17.9,3290,45984,1714997,2.7,9489,12182,7216,3436,749,10863,1055,10278,138.7,1109.92,"""42027"""
"Carbon County, Pennsylvania",63960,65250,-2,65249,4.7,5.3,19.7,20.8,20,17.8,50.5,50.7,96,95.8,1.9,1.5,0.3,0.2,0.6,0.5,1.1,1.2,4.2,3.3,92.4,93.7,5827,2.6,34387,34299,78.3,144700,1326,537,773,59,25751,2.48,89.7,4.3,88.7,15.5,13,10.5,59.6,54.5,112043,218963,414985,0,562613,8655,31.7,49973,25398,13,1140,13372,388680,0.6,3334,4753,2882,1441,281,4253,523,4010,171.1,381.46,"""42025"""
"Elk County, Pennsylvania",30872,31946,-3.4,31946,4.7,4.8,19.5,20.8,20.9,19,49.8,50.3,98.3,98.5,0.5,0.3,0.1,0.1,0.4,0.3,0.7,0.7,0.8,0.6,97.6,98.1,2840,1,17529,17585,78.1,90700,942,384,546,40,13244,2.34,92.5,1.7,91.1,16.8,10.4,8.6,60.7,56.1,28302,146619,1732631,0,314470,9967,18.2,46671,24647,10.5,882,14499,549402,4.9,1601,2861,1401,1048,52,2573,443,2079,38.6,827.36,"""42047"""
"Delaware County, Pennsylvania",563894,558726,0.9,558979,5.9,6.1,22.3,23.3,15.3,14.3,52,52.1,70.6,72.5,21.4,19.7,0.2,0.2,5.6,4.7,2.1,2,3.7,3,68.1,71.1,30721,9.6,221874,222902,69.9,232700,1846,712,983,349,203817,2.65,90.3,11.7,92.2,36,8.1,9.3,65.1,60.7,878102,3952555,7364871,5482348,6468800,11529,28.3,65123,34064,11,12675,214886,11868484,2,40100,48557,29073,15326,9764,37220,5133,41202,3040.5,183.84,"""42045"""
