Director,Released,Title,Writer,Year,imdbID,imdbRating,Actor1,Actor2,Actor3,Actor4,dircount,writcount,a1count,a2count,a3count,a4count,starpower
"Roger Allers, Rob Minkoff",24 Jun 1994,The Lion King,"Irene Mecchi (screenplay), Jonathan Roberts (screenplay), Linda Woolverton (screenplay), Burny Mattinson (story), Barry Johnson (story), Lorna Cook (story), Thom Enriquez (story), Andy Gaskill (story), Gary Trousdale (story), Jim Capobianco (story), Kevin Harkey (story), Jorgen Klubien (story), Chris Sanders (story), Tom Sito (story), Larry Leker (story), Joe Ranft (story), Rick Maki (story), Ed Gombert (story), Francis Glebas (story), Mark Kausler (story), J.T. Allen (additional story material), George Scribner (additional story material), Miguel Tejada-Flores (additional story material), Jenny Tripp (additional story material), Bob Tzudiker (additional story material), Christopher Vogler (additional story material), Kirk Wise (additional story material), Noni White (additional story material), Brenda Chapman (story supervisor)",1994,tt0110357,8.5,Matthew Broderick, Jonathan Taylor Thomas, James Earl Jones, Jim Cummings,1,1,1,1,1,1,6
Stanley Kubrick,25 Oct 1957,Paths of Glory,"Stanley Kubrick (screenplay), Calder Willingham (screenplay), Jim Thompson (screenplay), Humphrey Cobb (based on the novel ""Paths of Glory"" by)",1957,tt0050825,8.5,Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready,7,1,1,1,1,1,12
Stanley Kubrick,29 Jan 1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Stanley Kubrick (screenplay), Terry Southern (screenplay), Peter George (screenplay), Peter George (based on the book: ""Red Alert"" by)",1964,tt0057012,8.5,Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn,7,1,1,1,1,1,12
Stanley Kubrick,10 Jul 1987,Full Metal Jacket,"Gustav Hasford (novel), Stanley Kubrick (screenplay), Michael Herr (screenplay), Gustav Hasford (screenplay)",1987,tt0093058,8.3,Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey,7,1,1,1,1,1,12
Stanley Kubrick,12 May 1968,2001: A Space Odyssey,"Stanley Kubrick (screenplay), Arthur C. Clarke (screenplay)",1968,tt0062622,8.3,Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter,7,1,1,1,1,1,12
Stanley Kubrick,02 Feb 1972,A Clockwork Orange,"Stanley Kubrick (screenplay), Anthony Burgess (novel)",1971,tt0066921,8.3,Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke,7,1,1,1,1,1,12
Stanley Kubrick,18 Dec 1975,Barry Lyndon,"Stanley Kubrick (written for the screen by), William Makepeace Thackeray (novel)",1975,tt0072684,8.1,Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger,7,1,1,1,1,1,12
Damien Chazelle,15 Oct 2014,Whiplash,Damien Chazelle,2014,tt2582802,8.5,Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist,1,1,1,1,1,1,6
Billy Wilder,29 Sep 1950,Sunset Boulevard,"Charles Brackett, Billy Wilder, D.M. Marshman Jr.",1950,tt0043014,8.5,William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson,5,1,2,1,1,1,11
David Lean,14 Dec 1957,The Bridge on the River Kwai,"Pierre Boulle (novel), Carl Foreman (screenplay), Michael Wilson (screenplay)",1957,tt0050212,8.2,William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa,2,1,2,2,1,1,9
David Lean,11 Dec 1962,Lawrence of Arabia,"T.E. Lawrence (writings), Robert Bolt (screenplay), Michael Wilson (screenplay)",1962,tt0056172,8.4,Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins,2,1,1,2,1,1,8
Billy Wilder,06 Feb 1958,Witness for the Prosecution,"Agatha Christie (in Agatha Christie's international stage success), Billy Wilder (screen play), Harry Kurnitz (screen play), Lawrence B. Marcus (adaptation)",1957,tt0051201,8.4,Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester,5,1,1,1,1,1,10
Billy Wilder,24 Apr 1944,Double Indemnity,"Billy Wilder (screenplay), Raymond Chandler (screenplay), James M. Cain (from the novel by)",1944,tt0036775,8.4,Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall,5,1,1,1,1,1,10
