Director,Released,Title,Writer,Year,imdbID,imdbRating,Actor1,Actor2,Actor3,Actor4,dircount,writcount,a1count,a2count,a3count,a4count,starpower
Ron Howard,27 Sep 2013,Rush,Peter Morgan,2013,tt1979320,8.1,Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara,2,1,1,1,1,1,7
Tomm Moore,10 Dec 2014,Song of the Sea,"Will Collins, Tomm Moore (story by)",2014,tt1865505,8.2,David Rawle, Brendan Gleeson, Lisa Hannigan, Fionnula Flanagan,1,1,1,1,1,1,6
Adam Elliot,09 Apr 2009,Mary and Max,Adam Elliot,2009,tt0978762,8.2,Toni Collette, Philip Seymour Hoffman, Barry Humphries, Eric Bana,1,1,1,1,1,1,6
John Carpenter,25 Jun 1982,The Thing,"Bill Lancaster (screenplay), John W. Campbell Jr. (story)",1982,tt0084787,8.2,Kurt Russell, Wilford Brimley, T.K. Carter, David Clennon,1,1,1,1,1,1,6
"Joel Coen, Ethan Coen",06 Mar 1998,The Big Lebowski,"Ethan Coen, Joel Coen",1998,tt0118715,8.2,Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi,2,2,1,1,1,2,9
"Pete Docter, David Silverman, Lee Unkrich",02 Nov 2001,"Monsters, Inc.","Pete Docter (original story by), Jill Culton (original story by), Jeff Pidgeon (original story by), Ralph Eggleston (original story by), Andrew Stanton (screenplay), Daniel Gerson (screenplay)",2001,tt0198781,8.1,John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi,1,1,1,1,1,2,7
"Joel Coen, Ethan Coen",05 Apr 1996,Fargo,"Ethan Coen, Joel Coen",1996,tt0116282,8.1,William H. Macy, Steve Buscemi, Peter Stormare, Kristin Rudrüd,2,2,1,1,1,1,8
James McTeigue,17 Mar 2006,V for Vendetta,"Lilly Wachowski (screenplay), Lana Wachowski (screenplay), David Lloyd (graphic novel art)",2005,tt0434409,8.2,Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry,1,1,1,1,1,1,6
Lenny Abrahamson,22 Jan 2016,Room,"Emma Donoghue (screenplay), Emma Donoghue (novel)",2015,tt3170832,8.2,Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson,1,1,1,1,1,1,6
Sean Penn,19 Oct 2007,Into the Wild,"Sean Penn (screenplay), Jon Krakauer (book)",2007,tt0758758,8.2,Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone,1,1,1,1,1,1,6
David Lynch,10 Oct 1980,The Elephant Man,"Christopher De Vore (screenplay), Eric Bergren (screenplay), David Lynch (screenplay), Frederick Treves (book), Ashley Montagu (in part on the book ""The Elephant Man: A Study in Human Dignity"")",1980,tt0080678,8.2,Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud,1,1,1,1,1,2,7
Richard Attenborough,25 Feb 1983,Gandhi,John Briley,1982,tt0083987,8.1,Ben Kingsley, Candice Bergen, Edward Fox, John Gielgud,1,1,1,1,1,2,7
"Andrew Stanton, Lee Unkrich",30 May 2003,Finding Nemo,"Andrew Stanton (original story by), Andrew Stanton (screenplay), Bob Peterson (screenplay), David Reynolds (screenplay)",2003,tt0266543,8.2,Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe,1,1,1,1,1,1,6
Denis Villeneuve,12 Jan 2011,Incendies,"Denis Villeneuve (scenario), Wajdi Mouawad (play), Valérie Beaugrand-Champagne (collaboration), Denis Villeneuve (dialogue)",2010,tt1255953,8.2,Mustafa Kamel, Hussein Sami, Rémy Girard, Mélissa Désormeaux-Poulin,2,1,1,1,1,1,7
Danny Boyle,09 Aug 1996,Trainspotting,"Irvine Welsh (novel), John Hodge (screenplay)",1996,tt0117951,8.2,Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd,1,1,1,1,1,1,6
"Dean DeBlois, Chris Sanders",26 Mar 2010,How to Train Your Dragon,"William Davies (screenplay), Dean DeBlois (screenplay), Chris Sanders (screenplay), Cressida Cowell (book)",2010,tt0892769,8.2,Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera,1,1,1,1,1,1,6
Robert Hamer,14 Jun 1950,Kind Hearts and Coronets,"Roy Horniman (novel), Robert Hamer (screenplay), John Dighton (screenplay)",1949,tt0041546,8.2,Dennis Price, Valerie Hobson, Joan Greenwood, Alec Guinness,1,1,1,1,1,1,6
David Yates,15 Jul 2011,Harry Potter and the Deathly Hallows: Part 2,"Steve Kloves (screenplay), J.K. Rowling (novel)",2011,tt1201607,8.1,Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe,1,1,2,1,1,1,7
Wes Anderson,28 Mar 2014,The Grand Budapest Hotel,"Stefan Zweig (inspired by the writings of), Wes Anderson (screenplay), Wes Anderson (story), Hugo Guinness (story)",2014,tt2278388,8.1,Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody,1,1,2,1,1,1,7
Richard Linklater,27 Jan 1995,Before Sunrise,"Richard Linklater, Kim Krizan",1995,tt0112471,8.1,Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl,1,1,1,1,1,1,6
"Frank Miller, Robert Rodriguez, Quentin Tarantino",01 Apr 2005,Sin City,Frank Miller (graphic novels),2005,tt0401792,8.1,Jessica Alba, Devon Aoki, Alexis Bledel, Powers Boothe,1,1,1,1,1,1,6
Gore Verbinski,09 Jul 2003,Pirates of the Caribbean: The Curse of the Black Pearl,"Ted Elliott (screen story), Terry Rossio (screen story), Stuart Beattie (screen story), Jay Wolpert (screen story), Ted Elliott (screenplay), Terry Rossio (screenplay)",2003,tt0325980,8.1,Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley,1,1,1,1,1,1,6
Lasse Hallström,12 Mar 2010,Hachi: A Dog's Tale,"Stephen P. Lindsey (screenplay), Kaneto Shindô (motion picture ""Hachiko monogatari"")",2009,tt1028532,8.1,Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer,1,1,1,1,1,1,6
Wilson Yip,12 Dec 2008,Ip Man,"Edmond Wong (screenplay), Tai-Li Chan",2008,tt1220719,8.1,Donnie Yen, Simon Yam, Lynn Hung, Hiroyuki Ikeuchi,1,1,1,1,1,1,6
"Wai-Keung Lau, Alan Mak",12 Dec 2002,Infernal Affairs,"Alan Mak, Felix Chong",2002,tt0338564,8.1,Andy Lau, Tony Chiu Wai Leung, Anthony Chau-Sang Wong, Eric Tsang,1,1,1,1,1,1,6
Woody Allen,20 Apr 1977,Annie Hall,"Woody Allen, Marshall Brickman",1977,tt0075686,8.1,Woody Allen, Diane Keaton, Tony Roberts, Carol Kane,1,1,1,1,1,1,6
George Miller,15 May 2015,Mad Max: Fury Road,"George Miller, Brendan McCarthy, Nick Lathouris",2015,tt1392190,8.1,Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne,1,1,1,1,1,1,6
Tate Taylor,10 Aug 2011,The Help,"Tate Taylor (screenplay), Kathryn Stockett (novel)",2011,tt1454029,8.1,Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer,1,1,1,1,1,1,6
Damián Szifrón,21 Aug 2014,Wild Tales,Damián Szifrón,2014,tt3011894,8.1,Darío Grandinetti, María Marull, Mónica Villa, Rita Cortese,1,1,1,1,1,1,6
Steve McQueen,08 Nov 2013,12 Years a Slave,"John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)",2013,tt2024544,8.1,Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt,1,1,1,1,1,1,6
Terry Gilliam,05 Jan 1996,Twelve Monkeys,"Chris Marker (film La Jetée), David Webb Peoples (screenplay), Janet Peoples (screenplay)",1995,tt0114746,8.1,Joseph Melito, Bruce Willis, Jon Seda, Michael Chance,1,1,1,1,1,1,6
Paul Thomas Anderson,25 Jan 2008,There Will Be Blood,"Paul Thomas Anderson (screenplay), Upton Sinclair (novel)",2007,tt0469494,8.1,Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer,1,1,1,1,1,1,6
William Wyler,17 Jun 1947,The Best Years of Our Lives,"Robert E. Sherwood (screen play), MacKinlay Kantor (from a novel by)",1946,tt0036868,8.1,Myrna Loy, Fredric March, Dana Andrews, Teresa Wright,3,1,1,1,1,1,8
Rob Reiner,09 Oct 1987,The Princess Bride,"William Goldman (book), William Goldman (screenplay)",1987,tt0093779,8.1,Cary Elwes, Mandy Patinkin, Chris Sarandon, Christopher Guest,2,1,1,1,1,1,7
Rob Reiner,22 Aug 1986,Stand by Me,"Stephen King (novel), Raynold Gideon (screenplay), Bruce A. Evans (screenplay)",1986,tt0092005,8.1,Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell,2,1,1,1,1,1,7
Morten Tyldum,25 Dec 2014,The Imitation Game,"Graham Moore, Andrew Hodges (book)",2014,tt2084970,8.1,Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear,1,1,1,1,1,1,6
James Gunn,01 Aug 2014,Guardians of the Galaxy,"James Gunn, Nicole Perlman, Dan Abnett (based on the Marvel comic book by), Andy Lanning (based on the Marvel comic book by)",2014,tt2015381,8.1,Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel,1,1,1,1,1,1,6
Alejandro G. Iñárritu,13 Apr 2001,Amores Perros,Guillermo Arriaga,2000,tt0245712,8.1,Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero,2,1,1,1,1,1,7
Andrei Tarkovsky,17 Apr 1980,Stalker,"Arkadiy Strugatskiy (novel), Boris Strugatskiy (novel), Arkadiy Strugatskiy (screenplay), Boris Strugatskiy (screenplay)",1979,tt0079944,8.1,Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko,1,1,1,1,1,1,6
Oliver Stone,06 Feb 1987,Platoon,Oliver Stone,1986,tt0091763,8.1,Tom Berenger, Keith David, Willem Dafoe, Forest Whitaker,1,1,1,1,1,1,6
Joss Whedon,04 May 2012,The Avengers,"Joss Whedon (screenplay), Zak Penn (story), Joss Whedon (story)",2012,tt0848228,8.1,Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth,1,1,1,1,1,1,6
Gillo Pontecorvo,20 Sep 1967,The Battle of Algiers,"Franco Solinas, Franco Solinas (story), Gillo Pontecorvo (story)",1966,tt0058946,8.1,Jean Martin, Yacef Saadi, Brahim Hadjadj, Samia Kerbash,1,1,1,1,1,1,6
"Byron Howard, Rich Moore, Jared Bush",04 Mar 2016,Zootopia,"Byron Howard (story by), Rich Moore (story by), Jared Bush (story by), Jim Reardon (story by), Josie Trinidad (story by), Phil Johnston (story by), Jennifer Lee (story by), Jared Bush (screenplay), Phil Johnston (screenplay)",2016,tt2948356,8.1,Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate,1,1,1,1,1,1,6
Mathieu Kassovitz,23 Feb 1996,La Haine,Mathieu Kassovitz,1995,tt0113247,8.1,Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili,1,1,1,1,1,1,6
Richard Kelly,26 Oct 2001,Donnie Darko,Richard Kelly,2001,tt0246578,8.1,Jake Gyllenhaal, Holmes Osborne, Maggie Gyllenhaal, Daveigh Chase,1,1,1,1,1,1,6
Jim Sheridan,25 Feb 1994,In the Name of the Father,"Gerry Conlon (autobiographical book ""Proved Innocent""), Terry George (screenplay), Jim Sheridan (screenplay)",1993,tt0107207,8.1,Alison Crosbie, Daniel Day-Lewis, Philip King, Emma Thompson,1,1,1,1,1,1,6
Tom McCarthy,20 Nov 2015,Spotlight,"Josh Singer, Tom McCarthy",2015,tt1895587,8.1,Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber,1,1,1,1,1,1,6
François Truffaut,16 Nov 1959,The 400 Blows,"François Truffaut (scenario), Marcel Moussy (adaptation), François Truffaut (adaptation), Marcel Moussy (dialogue)",1959,tt0053198,8.1,Jean-Pierre Léaud, Claire Maurier, Albert Rémy, Guy Decomble,1,1,1,1,1,1,6
John G. Avildsen,03 Dec 1976,Rocky,Sylvester Stallone,1976,tt0075148,8.1,Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers,1,1,1,1,1,1,6
Tim Miller,12 Feb 2016,Deadpool,"Rhett Reese, Paul Wernick",2016,tt1431045,8.1,Ryan Reynolds, Karan Soni, Ed Skrein, Michael Benyaer,1,1,1,1,1,1,6
Wim Wenders,19 Sep 1984,"Paris, Texas","L.M. Kit Carson (adaptation), Sam Shepard",1984,tt0087884,8.1,Harry Dean Stanton, Sam Berry, Bernhard Wicki, Dean Stockwell,1,1,1,1,1,1,6
"Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, King Vidor",25 Aug 1939,The Wizard of Oz,"Noel Langley (screenplay), Florence Ryerson (screenplay), Edgar Allan Woolf (screenplay), Noel Langley (adaptation), L. Frank Baum (from the book by)",1939,tt0032138,8.1,Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr,1,1,1,1,1,1,6
Terry George,04 Feb 2005,Hotel Rwanda,"Keir Pearson, Terry George",2004,tt0395169,8.1,Xolani Mali, Don Cheadle, Desmond Dube, Hakeem Kae-Kazim,1,1,1,1,1,1,6
John Ford,15 Mar 1940,The Grapes of Wrath,"Nunnally Johnson (screen play), John Steinbeck (based on the novel by)",1940,tt0032551,8.1,Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin,1,1,1,1,1,1,6
Joon-ho Bong,02 May 2003,Memories of Murder,"Joon-ho Bong, Kwang-rim Kim (play), Sung-bo Shim",2003,tt0353969,8.1,Kang-ho Song, Sang-kyung Kim, Roe-ha Kim, Jae-ho Song,1,1,1,1,1,1,6
"Ethan Coen, Joel Coen",21 Nov 2007,No Country for Old Men,"Joel Coen (screenplay), Ethan Coen (screenplay), Cormac McCarthy (novel)",2007,tt0477348,8.1,Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson,1,1,1,1,1,1,6
Harold Ramis,12 Feb 1993,Groundhog Day,"Danny Rubin (screenplay), Harold Ramis (screenplay), Danny Rubin (story)",1993,tt0107048,8.1,Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky,1,1,1,1,1,1,6
Tom Hooper,25 Dec 2010,The King's Speech,David Seidler (screenplay),2010,tt1504320,8.0,Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal,1,1,1,1,1,1,6
"Gary Trousdale, Kirk Wise",22 Nov 1991,Beauty and the Beast,"Linda Woolverton (animation screenplay by), Brenda Chapman (story), Chris Sanders (story), Burny Mattinson (story), Kevin Harkey (story), Brian Pimental (story), Bruce Woodside (story), Joe Ranft (story), Tom Ellery (story), Kelly Asbury (story), Robert Lence (story)",1991,tt0101414,8.0,Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury,1,1,1,1,1,1,6
